,Name,Classical,Rapid,Blitz
0,Magnus Carlsen,2847,2881,2886
1,Fabiano Caruana,2820,2773,2711
2,Ding Liren,2799,2836,2788
3,Ian Nepomniachtchi,2792,2778,2785
4,Levon Aronian,2781,2778,2739
5,Anish Giri,2780,2731,2744
6,Alexander Grischuk,2776,2784,2765
7,Wesley So,2770,2741,2816
8,Shakhriyar Mamedyarov,2770,2761,2716
9,Teimour Radjabov,2765,2758,2757
10,Richard Rapport,2763,2727,2759
11,Wang Hao,2763,2750,2712
12,Alireza Firouzja,2759,2703,2770
13,Leinier Dominguez Perez,2758,2786,2654
14,Maxime Vachier-Lagrave,2758,2860,2822
15,Sergey Karjakin,2757,2709,2765
16,Viswanathan Anand,2753,2751,2785
17,Hikaru Nakamura,2736,2829,2900
18,Veselin Topalov,2735,2668,2667
19,Wei Yi,2732,2752,2686
20,Pentala Harikrishna,2730,2705,2614
21,Jan-Krzysztof Duda,2729,2774,2799
22,Santosh Gujrathi Vidit,2726,2636,2735
23,Dmitry Andreikin,2725,2740,2782
24,Michael Adams,2716,2684,2742
25,Nikita Vitiugov,2715,2622,2673
26,Peter Svidler,2714,2742,2754
27,Francisco Vallejo Pons,2710,2656,2643
28,Daniil Dubov,2710,2770,2722
29,Le Quang Liem,2709,2744,2690
30,Jeffery Xiong,2709,2730,2724
31,Yu Yangyi,2709,2738,2808
32,Vladislav Artemiev,2709,2757,2783
33,Evgeny Tomashevsky,2706,2681,2695
34,Bu Xiangzhi,2705,2642,2760
35,Andrey Esipenko,2701,2628,2595
36,Bassem Amin,2701,2608,2617
37,Jorden van Foreest,2701,2543,2622
38,Yuriy Kryvoruchko,2699,2697,2617
39,Kirill Alekseenko,2699,2661,2580
40,Parham Maghsoodloo,2698,2532,2601
41,David Navara,2697,2717,2758
42,Matthew D Sadler,2694,2673,2646
43,Radoslaw Wojtaszek,2694,2703,2730
44,Samuel Shankland,2691,2609,2704
45,Alexandr Predke,2690,2633,2642
46,Maxim Matlakov,2688,2667,2760
47,Alexander Areshchenko,2687,2622,2615
48,Vladimir Fedoseev,2687,2688,2756
49,Zoltan Almasi,2687,2621,2585
50,Igors Rausis,2685,2421,2527
